Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kirim Uang Suites,Chrome 85.0.4183.102,,,2020-09-16 14:38:10,2020-09-16 14:40:25,2m - 15.436s,PASSED
,,,,,,,
Test Cases/Kirim Uang/Abort With Valid Input,Chrome 85.0.4183.102,,,2020-09-16 14:38:10,2020-09-16 14:38:40,30.197s,PASSED
"openBrowser("""")",Chrome 85.0.4183.102,,,2020-09-16 14:38:11,2020-09-16 14:38:16,5.318s,PASSED
"navigateToUrl(""https://flip.id/login"")",Chrome 85.0.4183.102,,,2020-09-16 14:38:16,2020-09-16 14:38:22,6.277s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/Input Email""), ""m.fauzan.afianto@gmail.com"")",Chrome 85.0.4183.102,,,2020-09-16 14:38:22,2020-09-16 14:38:23,0.829s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/Input Password""), ""DckXWtD/9LOnxpHoHTUHFQ=="")",Chrome 85.0.4183.102,,,2020-09-16 14:38:23,2020-09-16 14:38:23,0.516s,PASSED
"click(findTestObject(""Object Repository/Page_Login/Button MASUK""))",Chrome 85.0.4183.102,,,2020-09-16 14:38:23,2020-09-16 14:38:24,0.371s,PASSED
"mouseOver(findTestObject(""Object Repository/Page_Beranda/Button Kirim Uang""))",Chrome 85.0.4183.102,,,2020-09-16 14:38:24,2020-09-16 14:38:27,2.894s,PASSED
"click(findTestObject(""Object Repository/Page_Beranda/Button Kirim Uang""))",Chrome 85.0.4183.102,,,2020-09-16 14:38:27,2020-09-16 14:38:27,0.476s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Kirim Uang/Title Kirim Uang Page""), ""Kirim Uang"")",Chrome 85.0.4183.102,,,2020-09-16 14:38:27,2020-09-16 14:38:28,0.652s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Kirim Uang/select_-- Pilih Bank --MandiriBRIBNI  BNI S_783f60""), ""tabungan_pensiunan_nasional"", true)",Chrome 85.0.4183.102,,,2020-09-16 14:38:28,2020-09-16 14:38:29,0.945s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Kirim Uang/select_-- Pilih Bank --MandiriBRIBNI  BNI S_783f60_1""), ""tabungan_pensiunan_nasional"", true)",Chrome 85.0.4183.102,,,2020-09-16 14:38:29,2020-09-16 14:38:30,1.175s,PASSED
"clearText(findTestObject(""Object Repository/Page_Kirim Uang/input_REKENING TUJUAN_account_number""), STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-16 14:38:30,2020-09-16 14:38:31,0.531s,PASSED
"setText(findTestObject(""Object Repository/Page_Kirim Uang/input_REKENING TUJUAN_account_number""), ""90011236271"")",Chrome 85.0.4183.102,,,2020-09-16 14:38:31,2020-09-16 14:38:31,0.639s,PASSED
"click(findTestObject(""Object Repository/Page_Kirim Uang/button_CEK NAMA""))",Chrome 85.0.4183.102,,,2020-09-16 14:38:31,2020-09-16 14:38:32,0.460s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Page_Kirim Uang/input_REKENING TUJUAN_beneficiary_bank""), ""value"", ""MUHAMMAD FAUZAN AFIANTO"", 5)",Chrome 85.0.4183.102,,,2020-09-16 14:38:32,2020-09-16 14:38:33,0.956s,PASSED
"setText(findTestObject(""Object Repository/Page_Kirim Uang/input_Rp_amount""), ""10.000"")",Chrome 85.0.4183.102,,,2020-09-16 14:38:33,2020-09-16 14:38:33,0.621s,PASSED
"click(findTestObject(""Object Repository/Page_Kirim Uang/button_OK, DATA SUDAH BENAR""))",Chrome 85.0.4183.102,,,2020-09-16 14:38:33,2020-09-16 14:38:34,0.563s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Kirim Uang/Konfirmasi No Rekening""), ""90011236271"")",Chrome 85.0.4183.102,,,2020-09-16 14:38:34,2020-09-16 14:38:36,2.152s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Kirim Uang/Konfirmasi Noiminal 1""), ""Rp10.000"")",Chrome 85.0.4183.102,,,2020-09-16 14:38:36,2020-09-16 14:38:36,0.272s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Kirim Uang/Konfirmasi Noiminal 2""), ""Rp10.000"")",Chrome 85.0.4183.102,,,2020-09-16 14:38:36,2020-09-16 14:38:36,0.280s,PASSED
"click(findTestObject(""Object Repository/Page_Kirim Uang/a_LANJUT""))",Chrome 85.0.4183.102,,,2020-09-16 14:38:36,2020-09-16 14:38:37,0.347s,PASSED
"click(findTestObject(""Object Repository/Page_Kirim Uang/a_SIAP, SAYA SETUJU""))",Chrome 85.0.4183.102,,,2020-09-16 14:38:37,2020-09-16 14:38:37,0.538s,PASSED
"click(findTestObject(""Object Repository/Page_Konfirmasi Transaksi/span_Lihat""))",Chrome 85.0.4183.102,,,2020-09-16 14:38:37,2020-09-16 14:38:38,0.936s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Konfirmasi Transaksi/Konfirmasi 2 Rerekening Penerima""), ""90011236271"")",Chrome 85.0.4183.102,,,2020-09-16 14:38:38,2020-09-16 14:38:39,0.487s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Konfirmasi Transaksi/Konfirmasi 2 Nama Penerima""), ""MUHAMMAD FAUZAN AFIANTO"")",Chrome 85.0.4183.102,,,2020-09-16 14:38:39,2020-09-16 14:38:39,0.276s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Konfirmasi Transaksi/Konfirmasi 2 Nominal""), ""Rp10.000"")",Chrome 85.0.4183.102,,,2020-09-16 14:38:39,2020-09-16 14:38:39,0.291s,PASSED
"click(findTestObject(""Object Repository/Page_Konfirmasi Transaksi/button_BATALKAN TRANSAKSI""))",Chrome 85.0.4183.102,,,2020-09-16 14:38:39,2020-09-16 14:38:40,0.376s,PASSED
"click(findTestObject(""Object Repository/Page_Konfirmasi Transaksi/button_YAKIN BANGET""))",Chrome 85.0.4183.102,,,2020-09-16 14:38:40,2020-09-16 14:38:40,0.546s,PASSED
,,,,,,,
Test Cases/Kirim Uang/Go to Kirim Uang Page,Chrome 85.0.4183.102,,,2020-09-16 14:38:40,2020-09-16 14:38:55,14.791s,PASSED
"openBrowser("""")",Chrome 85.0.4183.102,,,2020-09-16 14:38:40,2020-09-16 14:38:44,3.837s,PASSED
"navigateToUrl(""https://flip.id/login"")",Chrome 85.0.4183.102,,,2020-09-16 14:38:44,2020-09-16 14:38:49,4.999s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/Input Email""), ""m.fauzan.afianto@gmail.com"")",Chrome 85.0.4183.102,,,2020-09-16 14:38:49,2020-09-16 14:38:51,1.504s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/Input Password""), ""DckXWtD/9LOnxpHoHTUHFQ=="")",Chrome 85.0.4183.102,,,2020-09-16 14:38:51,2020-09-16 14:38:51,0.384s,PASSED
"click(findTestObject(""Object Repository/Page_Login/Button MASUK""))",Chrome 85.0.4183.102,,,2020-09-16 14:38:51,2020-09-16 14:38:52,0.331s,PASSED
"mouseOver(findTestObject(""Object Repository/Page_Beranda/Button Kirim Uang""))",Chrome 85.0.4183.102,,,2020-09-16 14:38:52,2020-09-16 14:38:54,2.222s,PASSED
"click(findTestObject(""Page_Beranda/Button Kirim Uang""))",Chrome 85.0.4183.102,,,2020-09-16 14:38:54,2020-09-16 14:38:54,0.614s,PASSED
"verifyElementText(findTestObject(""Page_Kirim Uang/Title Kirim Uang Page""), ""Kirim Uang"")",Chrome 85.0.4183.102,,,2020-09-16 14:38:54,2020-09-16 14:38:55,0.714s,PASSED
,,,,,,,
Test Cases/Kirim Uang/Proceeed With Blank Input,Chrome 85.0.4183.102,,,2020-09-16 14:38:55,2020-09-16 14:39:12,17.232s,PASSED
"openBrowser("""")",Chrome 85.0.4183.102,,,2020-09-16 14:38:55,2020-09-16 14:38:59,3.812s,PASSED
"navigateToUrl(""https://flip.id/login"")",Chrome 85.0.4183.102,,,2020-09-16 14:38:59,2020-09-16 14:39:04,5.396s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/Input Email""), ""m.fauzan.afianto@gmail.com"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:04,2020-09-16 14:39:06,1.402s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/Input Password""), ""DckXWtD/9LOnxpHoHTUHFQ=="")",Chrome 85.0.4183.102,,,2020-09-16 14:39:06,2020-09-16 14:39:06,0.398s,PASSED
"click(findTestObject(""Object Repository/Page_Login/Button MASUK""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:06,2020-09-16 14:39:07,0.324s,PASSED
